ID;City;Weekdays_WE;Price;room_type;room_shared;room_private;person_capacity;host_is_superhost;multi_room;Buisness_noBuisness;cleanliness_rating;guest_satisfaction_overall;bedrooms;Center_dist;metro_dist;lng;lat
1;Paris;Weekdays;296,16;Private room;False;True;2;True;0;0;10;97;1;0,7;0,19;2,35385;48,86282
2;Paris;Weekdays;288,24;Private room;False;True;2;True;0;0;10;97;1;2,1;0,11;2,32436;48,85902
3;Paris;Weekdays;211,34;Private room;False;True;2;False;0;0;10;94;1;3,3;0,23;2,31714;48,87475
4;Paris;Weekdays;298,96;Entire home/apt;False;False;2;False;0;1;9;91;1;0,55;0,2;2,356;48,861
5;Paris;Weekdays;247,93;Entire home/apt;False;False;4;False;0;0;7;82;1;1,2;0,1;2,35915;48,86648
6;Paris;Weekdays;527,08;Entire home/apt;False;False;4;True;0;0;10;93;1;1,54;0,55;2,33201;48,85891
7;Paris;Weekdays;193,63;Private room;False;True;2;False;0;0;10;90;1;4;0,42;2,3067;48,87582
8;Paris;Weekdays;207,15;Entire home/apt;False;False;2;False;0;0;10;95;1;1,43;0,21;2,36075;48,86825
9;Paris;Weekdays;345,09;Entire home/apt;False;False;2;False;0;1;9;94;0;1,77;0,21;2,33543;48,86767
10;Paris;Weekdays;741,45;Entire home/apt;False;False;3;False;0;1;10;91;1;0,97;0,16;2,34467;48,86352
11;Paris;Weekdays;350,92;Private room;False;True;2;True;0;0;10;99;1;1,1;0,22;2,36172;48,86452
12;Paris;Weekdays;239,3;Entire home/apt;False;False;2;False;0;1;9;89;0;1,33;0,16;2,3484;48,86815
13;Paris;Weekdays;242,8;Private room;False;True;2;True;1;0;10;99;1;0,68;0,21;2,35093;48,85061
14;Paris;Weekdays;242,8;Private room;False;True;2;False;0;0;10;97;1;1,07;0,14;2,3506;48,86612
15;Paris;Weekdays;845,61;Entire home/apt;False;False;4;False;0;1;8;80;1;3,85;0,29;2,30609;48,87234
16;Paris;Weekdays;277,98;Private room;False;True;2;True;1;0;10;96;1;0,23;0,31;2,35564;48,85739
17;Paris;Weekdays;301,05;Entire home/apt;False;False;2;True;0;0;10;97;0;2,7;0,18;2,322;48,87
18;Paris;Weekdays;301,05;Entire home/apt;False;False;2;False;0;0;10;97;1;1,02;0,35;2,33902;48,8551
19;Paris;Weekdays;382,14;Private room;False;True;2;False;1;0;10;90;1;1,55;0,19;2,34653;48,8699
20;Paris;Weekdays;336,01;Entire home/apt;False;False;2;False;0;0;9;87;1;1,69;0,18;2,33735;48,86791
21;Paris;Weekdays;484,2;Entire home/apt;False;False;2;False;0;0;10;96;1;0,82;0,24;2,3538;48,86394
22;Paris;Weekdays;435,5;Entire home/apt;False;False;4;False;0;1;9;80;1;1,24;0,07;2,34713;48,86711
23;Paris;Weekdays;463,46;Entire home/apt;False;False;4;False;0;0;10;93;1;3,25;0,22;2,31294;48,86943
24;Paris;Weekdays;318,3;Entire home/apt;False;False;2;False;0;0;9;94;0;1,09;0,19;2,34119;48,86274
25;Paris;Weekdays;287,07;Private room;False;True;2;False;1;0;10;94;1;2,26;0,11;2,34349;48,87597
26;Paris;Weekdays;305,71;Private room;False;True;2;False;0;0;9;83;1;2,05;0,08;2,32478;48,85609
27;Paris;Weekdays;815,78;Entire home/apt;False;False;6;False;0;1;10;88;2;1,19;0,15;2,35136;48,86722
28;Paris;Weekdays;968,4;Entire home/apt;False;False;6;False;0;1;10;97;2;1;0,23;2,35917;48,86455
29;Paris;Weekdays;968,4;Entire home/apt;False;False;6;False;0;1;10;97;2;1,16;0,14;2,35871;48,86624
30;Paris;Weekdays;469,06;Entire home/apt;False;False;4;False;0;1;9;89;2;0,55;0,12;2,36022;48,85629
31;Paris;Weekdays;373,99;Entire home/apt;False;False;2;True;0;0;10;98;1;1,87;0,27;2,35258;48,87335
32;Paris;Weekdays;287,31;Entire home/apt;False;False;2;False;0;1;9;91;1;1,27;0,2;2,34905;48,86774
33;Paris;Weekdays;619,82;Entire home/apt;False;False;6;False;0;1;10;92;2;0,9;0,24;2,35816;48,86382
34;Paris;Weekdays;382,14;Entire home/apt;False;False;4;False;0;0;10;97;1;1,54;0,09;2,33218;48,85378
35;Paris;Weekdays;426,41;Entire home/apt;False;False;3;False;0;0;9;97;2;1,74;0,33;2,32912;48,85732
36;Paris;Weekdays;486,53;Entire home/apt;False;False;4;False;0;0;9;95;0;0,32;0,31;2,35327;48,8537
37;Paris;Weekdays;169,63;Entire home/apt;False;False;2;True;0;0;10;95;0;0,94;0,37;2,36095;48,8631
38;Paris;Weekdays;289,4;Entire home/apt;False;False;2;False;0;0;8;88;0;0,8;0,26;2,35667;48,86327
39;Paris;Weekdays;833,95;Private room;False;True;4;False;0;1;9;92;2;1,01;0,23;2,3599;48,86432
40;Paris;Weekdays;632,4;Entire home/apt;False;False;6;False;0;1;9;84;2;0,86;0,45;2,361;48,862
41;Paris;Weekdays;697,41;Private room;False;True;4;False;0;1;10;92;1;2,71;0,27;2,321;48,869
42;Paris;Weekdays;428,51;Private room;False;True;3;False;0;1;9;82;1;2,71;0,27;2,321;48,869
43;Paris;Weekdays;312,7;Entire home/apt;False;False;2;False;0;0;9;93;0;0,58;0,09;2,36003;48,85463
44;Paris;Weekdays;366,06;Entire home/apt;False;False;3;False;0;1;9;90;0;2,39;0,12;2,3341;48,87415
45;Paris;Weekdays;689,25;Entire home/apt;False;False;2;True;0;1;10;98;1;3,15;0,28;2,31622;48,87139
46;Paris;Weekdays;423,85;Private room;False;True;2;False;0;1;10;90;1;0,91;0,39;2,36157;48,86226
47;Paris;Weekdays;318,3;Entire home/apt;False;False;2;False;0;0;9;88;1;1,81;0,13;2,35776;48,87248
48;Paris;Weekdays;474,65;Entire home/apt;False;False;4;True;0;1;10;97;1;1,91;0,06;2,33;48,86494
49;Paris;Weekdays;660,13;Entire home/apt;False;False;3;True;0;0;10;97;1;0,73;0,11;2,34744;48,86212
50;Paris;Weekdays;263,77;Entire home/apt;False;False;2;False;0;1;9;92;0;1,45;0,15;2,35031;48,86953
51;Paris;Weekdays;606,77;Entire home/apt;False;False;5;False;0;1;10;100;1;2,18;0,11;2,331;48,87
52;Paris;Weekdays;291,73;Entire home/apt;False;False;2;False;1;0;9;90;1;1,47;0,11;2,35246;48,86979
